Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24,Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Tm,RA/G,Ptn%,HR%,SO%,BB%,SO-BB%,XBH%,X/H%,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB,Opp,DP,%,PAu,year
Arizona Diamondbacks,27,27.1,4.40,79,83,.488,4.04,162,162,161,1,12,1,44,1466.2,1450,713,659,182,500,45,1215,48,3,51,6257,102,4.21,1.330,8.9,1.1,3.1,7.5,2.43,1144,Arizona Diamondbacks,.258,.322,.423,.744,.297,2.9%,19.4%,8.0%,89.5,41.3%,28.2%,45.3%,18.4%,0.87,0.0,-1.5%,-14.6,Arizona Diamondbacks,4.40,,162,6257,5617,713,1450,318,30,182,73,28,500,1215,.258,.322,.423,.744,.297,2374,125,48,44,46,45,54,Arizona Diamondbacks,4.40,49%,2.9%,19.4%,8.0%,11.4%,8.5%,37%,0.87,1.18,68%,28%,8.7%,11%,1109,125,11%,0,2015
Atlanta Braves,37,26.6,4.69,67,95,.414,4.41,162,162,159,3,10,2,44,1425.1,1462,760,698,170,550,45,1148,53,9,53,6156,88,4.34,1.412,9.2,1.1,3.5,7.2,2.09,1120,Atlanta Braves,.268,.339,.426,.765,.309,2.8%,18.7%,8.9%,89.0,39.7%,26.6%,42.9%,21.8%,0.78,-7.1,-1.2%,-110.7,Atlanta Braves,4.69,,162,6156,5449,760,1462,285,33,170,84,33,550,1148,.268,.339,.426,.765,.309,2323,165,53,56,46,45,54,Atlanta Braves,4.69,49%,2.8%,18.7%,8.9%,9.7%,7.9%,33%,0.78,1.09,68%,27%,8.0%,12%,1238,165,13%,0,2015
Baltimore Orioles,22,28.3,4.28,81,81,.500,4.05,162,162,162,0,10,0,43,1434.2,1406,693,646,174,483,27,1233,54,0,46,6085,102,4.11,1.317,8.8,1.1,3.0,7.7,2.55,1088,Baltimore Orioles,.257,.321,.418,.739,.299,2.9%,20.3%,7.9%,89.1,39.0%,24.7%,45.6%,20.5%,0.86,3.7,0.8%,7.0,Baltimore Orioles,4.28,,162,6085,5479,693,1406,317,23,174,62,29,483,1233,.257,.321,.418,.739,.299,2291,116,54,24,44,27,42,Baltimore Orioles,4.28,46%,2.9%,20.3%,7.9%,12.3%,8.5%,37%,0.86,1.12,68%,25%,8.9%,15%,1124,116,10%,0,2015
Boston Red Sox,26,28.6,4.65,78,84,.481,4.31,162,162,159,3,10,1,40,1448.1,1486,753,694,178,478,17,1218,62,10,79,6225,100,4.17,1.356,9.2,1.1,3.0,7.6,2.55,1127,Boston Red Sox,.264,.327,.424,.751,.307,2.9%,19.6%,7.7%,88.3,37.4%,25.2%,44.3%,22.3%,0.82,0.4,-0.3%,-28.7,Boston Red Sox,4.65,,162,6225,5623,753,1486,299,32,178,75,38,478,1218,.264,.327,.424,.751,.307,2383,126,62,23,37,17,58,Boston Red Sox,4.65,41%,2.9%,19.6%,7.7%,11.9%,8.2%,34%,0.82,1.12,69%,25%,8.5%,13%,1172,126,11%,0,2015
Chicago Cubs,29,29.3,3.75,97,65,.599,3.36,162,162,156,6,21,4,48,1461.1,1276,608,546,134,407,38,1431,46,3,66,5997,114,3.30,1.152,7.9,0.8,2.5,8.8,3.52,1005,Chicago Cubs,.233,.290,.372,.662,.290,2.2%,23.9%,6.8%,88.3,36.3%,26.9%,46.4%,18.6%,0.90,11.0,4.6%,62.4,Chicago Cubs,3.75,,162,5997,5476,608,1276,286,37,134,137,38,407,1431,.233,.290,.372,.662,.290,2038,98,46,36,30,38,66,Chicago Cubs,3.75,48%,2.2%,23.9%,6.8%,17.1%,7.6%,36%,0.90,1.21,66%,27%,7.3%,13%,937,98,10%,0,2015
Chicago White Sox,24,27.8,4.33,76,86,.469,3.98,162,162,155,7,9,4,37,1452.2,1443,701,643,162,474,34,1359,62,2,61,6181,98,3.82,1.320,8.9,1.0,2.9,8.4,2.87,1122,Chicago White Sox,.260,.322,.410,.733,.314,2.6%,22.0%,7.7%,87.9,37.1%,26.8%,44.8%,19.7%,0.84,3.4,-0.1%,-9.0,Chicago White Sox,4.33,,162,6181,5558,701,1443,272,39,162,75,30,474,1359,.260,.322,.410,.733,.314,2279,134,62,42,43,34,58,Chicago White Sox,4.33,37%,2.6%,22.0%,7.7%,14.3%,7.7%,33%,0.84,1.10,66%,27%,8.2%,14%,1155,134,12%,0,2015
Cincinnati Reds,28,27.3,4.65,64,98,.395,4.33,162,162,160,2,8,1,35,1453.1,1436,754,700,177,544,42,1252,58,11,54,6271,92,4.24,1.362,8.9,1.1,3.4,7.8,2.30,1157,Cincinnati Reds,.258,.328,.420,.748,.301,2.8%,20.0%,8.7%,88.3,38.3%,29.8%,43.8%,17.9%,0.82,-5.9,-0.2%,-84.2,Cincinnati Reds,4.65,,162,6271,5562,754,1436,317,25,177,100,31,544,1252,.258,.328,.420,.748,.301,2334,117,58,62,45,42,56,Cincinnati Reds,4.65,48%,2.8%,20.0%,8.7%,11.3%,8.3%,36%,0.82,1.10,67%,30%,8.5%,12%,1159,117,10%,0,2015
Cleveland Indians,27,27.3,3.98,81,80,.503,3.67,161,161,150,11,10,1,38,1432.2,1274,640,584,161,425,27,1407,48,5,48,5904,117,3.62,1.186,8.0,1.0,2.7,8.8,3.31,966,Cleveland Indians,.237,.297,.386,.683,.290,2.7%,23.8%,7.2%,88.9,38.5%,26.4%,44.7%,21.2%,0.83,7.1,0.3%,76.8,Cleveland Indians,3.98,,161,5904,5373,640,1274,254,31,161,71,39,425,1407,.237,.297,.386,.683,.290,2073,119,48,26,32,27,44,Cleveland Indians,3.98,52%,2.7%,23.8%,7.2%,16.6%,7.6%,35%,0.83,1.12,65%,26%,8.5%,13%,970,119,12%,0,2015
Colorado Rockies,30,28.7,5.21,68,94,.420,5.04,162,162,158,4,4,1,36,1426.1,1579,844,799,183,579,42,1112,48,6,66,6308,92,4.56,1.513,10.0,1.2,3.7,7.0,1.92,1185,Colorado Rockies,.283,.353,.461,.814,.323,2.9%,17.6%,9.2%,88.8,40.2%,28.2%,47.4%,16.8%,0.94,-15.1,-3.4%,-130.0,Colorado Rockies,5.21,,162,6308,5583,844,1579,363,41,183,92,35,579,1112,.283,.353,.461,.814,.323,2573,153,48,57,40,42,52,Colorado Rockies,5.21,46%,2.9%,17.6%,9.2%,8.5%,9.3%,37%,0.94,1.39,69%,28%,8.9%,10%,1174,153,13%,0,2015
Detroit Tigers,27,28.7,4.99,74,87,.460,4.64,161,161,154,7,12,4,35,1447.0,1491,803,746,193,489,32,1100,46,8,60,6188,86,4.46,1.368,9.3,1.2,3.0,6.8,2.25,1044,Detroit Tigers,.268,.330,.444,.774,.301,3.1%,17.8%,7.9%,89.0,39.1%,24.7%,43.0%,22.1%,0.78,-5.3,-0.5%,-105.0,Detroit Tigers,4.99,,161,6188,5565,803,1491,280,60,193,72,43,489,1100,.268,.330,.444,.774,.301,2470,137,46,44,44,32,53,Detroit Tigers,4.99,43%,3.1%,17.8%,7.9%,9.9%,8.6%,36%,0.78,1.01,70%,25%,9.1%,15%,1118,137,12%,0,2015
